"","NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"83","Garrett Mueller",135,"bantamweight",NA,0,0,0,0,0,0,0,0
"84","Lauren Mueller",125,"flyweight",67,4.08,3.77,0.41,0.58,0.7,0.5,0.71,0
"85","Belal Muhammad",170,"welterweight",72,4.37,3.81,0.41,0.6,2.15,0.31,0.83,0.2
"86","Fazlo Mulabitinovic",135,"bantamweight",NA,0.54,0,0.16,1,0,0,0,8
"87","Quinn Mulhern",155,"lightweight",76,1.48,2.09,0.28,0.51,1.36,0.2,0.33,0
"88","James Mulheron",243,"heavyweight",73,2.4,3.47,0.31,0.42,0,0,0.25,0
"89","Jamie Mullarkey",155,"lightweight",74,2.4,6.07,0.37,0.4,3,0.2,0,1
"90","Jim Mullen",215,"heavyweight",NA,0,0,0,0,0,0,0,0
"91","Pedro Munhoz",135,"bantamweight",65,5.29,6.17,0.42,0.57,0.92,0.21,0.81,1.1
"92","Andre Muniz",185,"middleweight",NA,2.98,1.67,0.63,0.52,2.68,0.3,0.4,0.9
"93","Mark Munoz",185,"middleweight",72,3.12,2.26,0.51,0.57,3.17,0.29,0.57,0.6
"94","Alexander Munoz",155,"lightweight",NA,4.07,3.53,0.63,0.53,4,0.66,0,0
"95","Andy Murad",185,"middleweight",NA,2.6,2.87,0.76,0.32,1,0.2,0.42,0
"96","Makhmud Muradov",185,"middleweight",75,3.6,2.4,0.31,0.68,0,0,1,0
"97","Kazunari Murakami",220,"heavyweight",NA,0,0,0,0,0,0,0,0
"98","Ryuichi Murata",183,"catchweight",NA,0.84,1.89,0.36,0.5,4.74,0.5,1,3.2
"99","Vince Murdock",145,"featherweight",66,0,0,0,0,0,0,0,0
"100","Tom Murphy",227,"heavyweight",NA,2.5,0.17,0.71,0.84,7.51,0.85,0,2.5
"101","Ian Murphy",185,"middleweight",NA,0,1.93,0,0.3,4.13,1,0,0
"102","Jon Murphy",260,"heavyweight",NA,3.93,8.85,0.66,0.43,0,0,0,0
"103","Lauren Murphy",125,"flyweight",67,3.53,3.59,0.38,0.61,0.89,0.28,0.62,0
"104","Patrick Murphy",170,"welterweight",NA,0,0,0,0,0,0,0,0
"105","Lerone Murphy",145,"featherweight",73,1.87,1.47,0.35,0.62,0,0,0.25,2
"106","Lee Murray",185,"middleweight",NA,0.36,3.28,0.15,0.32,0.9,1,0.42,1.8
"107","Khalid Murtazaliev",185,"middleweight",76,4.8,0.4,0.69,0.78,7.5,1,0.33,0
"108","Azamat Murzakanov",205,"lightheavyweight",NA,0,0,0,0,0,0,0,0
"109","Nico Musoke",170,"welterweight",75,3.56,3.8,0.35,0.57,1.16,0.19,0.82,0.2
"110","Andre Mussi",242,"heavyweight",NA,0,10.59,0,0.35,0,0,0,0
"111","Magomed Mustafaev",155,"lightweight",71,3.11,2.78,0.57,0.36,0,0,0.25,0.7
"112","Max Mustaki",155,"lightweight",NA,8.2,13,0.5,0.45,0,0,0,0
"113","Elvis Mutapcic",185,"middleweight",72,3.41,4.27,0.4,0.38,0,0,0.81,0
"114","Fiona Muxlow",145,"featherweight",NA,1.44,5.45,0.27,0.34,0,0,0,0
